37,51
36,19
53,19
25,3
25,27
42,58
18,45
18,59
37,26
63,12
45,52
43,42
57,12
28,2
33,13
22,42
12,32
49,26
48,59
6,58
23,40
54,54
62,6
11,59
50,28
57,53
26,7
59,30
60,15
62,39
60,36
16,1
43,18
33,25
52,28
53,54
56,13
52,12
3,18
27,47
23,3
17,63
20,8
4,47
44,56
48,12
54,42
40,46
32,20
38,6
43,3
12,3
29,19
40,22
5,57
46,56
44,14
45,11
19,12
38,24
21,0
0,39
34,3
46,5
4,39
61,56
14,11
46,29
8,1
58,54
26,61
57,1
45,62
7,59
55,39
31,53
56,45
30,9
39,16
22,6
10,4
1,12
15,13
47,63
53,0
5,46
15,58
50,19
34,20
55,15
1,51
31,0
51,22
27,5
48,29
35,16
29,51
7,45
8,40
41,41
31,22
57,34
12,13
41,53
63,54
58,11
44,30
