n_hor,n_ver,n_tot,eta,S
4,339,343,0.66992188,-0.97667638
10,315,325,0.63476562,-0.93846154
0,337,337,0.65820312,-1
8,321,329,0.64257812,-0.95136778
3,327,330,0.64453125,-0.98181818
22,309,331,0.64648438,-0.86706949
14,313,327,0.63867188,-0.91437309
12,328,340,0.6640625,-0.92941176
11,321,332,0.6484375,-0.93373494
9,332,341,0.66601562,-0.94721408
11,311,322,0.62890625,-0.93167702
5,339,344,0.671875,-0.97093023
7,328,335,0.65429688,-0.95820896
13,315,328,0.640625,-0.92073171
52,277,329,0.64257812,-0.68389058
44,267,311,0.60742188,-0.7170418
39,294,333,0.65039062,-0.76576577
31,298,329,0.64257812,-0.81155015
9,337,346,0.67578125,-0.94797688
17,326,343,0.66992188,-0.90087464
9,324,333,0.65039062,-0.94594595
18,311,329,0.64257812,-0.89057751
1,329,330,0.64453125,-0.99393939
19,313,332,0.6484375,-0.88554217
6,326,332,0.6484375,-0.96385542
17,315,332,0.6484375,-0.89759036
29,301,330,0.64453125,-0.82424242
53,283,336,0.65625,-0.68452381
76,261,337,0.65820312,-0.54896142
22,298,320,0.625,-0.8625
13,325,338,0.66015625,-0.92307692
10,334,344,0.671875,-0.94186047
29,308,337,0.65820312,-0.82789318
38,302,340,0.6640625,-0.77647059
32,303,335,0.65429688,-0.80895522
54,291,345,0.67382812,-0.68695652
52,282,334,0.65234375,-0.68862275
19,298,317,0.61914062,-0.88012618
5,327,332,0.6484375,-0.96987952
35,291,326,0.63671875,-0.78527607
47,276,323,0.63085938,-0.70897833
58,268,326,0.63671875,-0.64417178
29,303,332,0.6484375,-0.8253012
20,306,326,0.63671875,-0.87730061
21,319,340,0.6640625,-0.87647059
8,318,326,0.63671875,-0.95092025
3,323,326,0.63671875,-0.98159509
3,340,343,0.66992188,-0.98250729
4,334,338,0.66015625,-0.97633136
12,324,336,0.65625,-0.92857143
23,305,328,0.640625,-0.8597561
30,302,332,0.6484375,-0.81927711
51,279,330,0.64453125,-0.69090909
29,306,335,0.65429688,-0.82686567
24,298,322,0.62890625,-0.85093168
14,322,336,0.65625,-0.91666667
12,328,340,0.6640625,-0.92941176
2,331,333,0.65039062,-0.98798799
18,313,331,0.64648438,-0.89123867
8,341,349,0.68164062,-0.95415473
9,331,340,0.6640625,-0.94705882
5,333,338,0.66015625,-0.9704142
23,318,341,0.66601562,-0.86510264
46,292,338,0.66015625,-0.72781065
24,305,329,0.64257812,-0.85410334
5,332,337,0.65820312,-0.97032641
20,318,338,0.66015625,-0.8816568
1,344,345,0.67382812,-0.9942029
5,329,334,0.65234375,-0.97005988
6,336,342,0.66796875,-0.96491228
6,323,329,0.64257812,-0.96352584
7,322,329,0.64257812,-0.95744681
13,317,330,0.64453125,-0.92121212
39,295,334,0.65234375,-0.76646707
25,301,326,0.63671875,-0.84662577
27,305,332,0.6484375,-0.8373494
16,326,342,0.66796875,-0.90643275
37,297,334,0.65234375,-0.77844311
45,288,333,0.65039062,-0.72972973
53,292,345,0.67382812,-0.69275362
66,265,331,0.64648438,-0.60120846
78,249,327,0.63867188,-0.52293578
52,265,317,0.61914062,-0.67192429
19,318,337,0.65820312,-0.88724036
13,331,344,0.671875,-0.9244186
6,330,336,0.65625,-0.96428571
0,333,333,0.65039062,-1
17,314,331,0.64648438,-0.89728097
16,326,342,0.66796875,-0.90643275
0,329,329,0.64257812,-1
18,319,337,0.65820312,-0.89317507
