n_hor,n_ver,n_tot,eta,S
135,196,331,0.64648438,-0.18429003
97,234,331,0.64648438,-0.41389728
125,199,324,0.6328125,-0.22839506
149,194,343,0.66992188,-0.13119534
114,212,326,0.63671875,-0.3006135
128,194,322,0.62890625,-0.20496894
175,150,325,0.63476562,0.076923077
133,204,337,0.65820312,-0.21068249
135,184,319,0.62304688,-0.15360502
144,179,323,0.63085938,-0.10835913
154,171,325,0.63476562,-0.052307692
112,210,322,0.62890625,-0.30434783
59,268,327,0.63867188,-0.63914373
81,255,336,0.65625,-0.51785714
104,224,328,0.640625,-0.36585366
74,258,332,0.6484375,-0.55421687
29,300,329,0.64257812,-0.82370821
32,303,335,0.65429688,-0.80895522
75,249,324,0.6328125,-0.53703704
17,332,349,0.68164062,-0.9025788
27,319,346,0.67578125,-0.84393064
25,309,334,0.65234375,-0.8502994
13,331,344,0.671875,-0.9244186
3,336,339,0.66210938,-0.98230088
12,336,348,0.6796875,-0.93103448
2,346,348,0.6796875,-0.98850575
33,299,332,0.6484375,-0.80120482
50,261,311,0.60742188,-0.67845659
37,294,331,0.64648438,-0.77643505
8,314,322,0.62890625,-0.95031056
5,326,331,0.64648438,-0.96978852
6,337,343,0.66992188,-0.96501458
3,321,324,0.6328125,-0.98148148
2,327,329,0.64257812,-0.98784195
0,338,338,0.66015625,-1
0,342,342,0.66796875,-1
2,340,342,0.66796875,-0.98830409
16,325,341,0.66601562,-0.90615836
27,315,342,0.66796875,-0.84210526
0,327,327,0.63867188,-1
10,330,340,0.6640625,-0.94117647
19,315,334,0.65234375,-0.88622754
3,339,342,0.66796875,-0.98245614
5,329,334,0.65234375,-0.97005988
4,338,342,0.66796875,-0.97660819
1,339,340,0.6640625,-0.99411765
8,327,335,0.65429688,-0.95223881
35,297,332,0.6484375,-0.78915663
41,292,333,0.65039062,-0.75375375
31,303,334,0.65234375,-0.81437126
59,273,332,0.6484375,-0.64457831
40,296,336,0.65625,-0.76190476
33,304,337,0.65820312,-0.8041543
23,309,332,0.6484375,-0.86144578
14,319,333,0.65039062,-0.91591592
13,315,328,0.640625,-0.92073171
13,316,329,0.64257812,-0.92097264
16,309,325,0.63476562,-0.90153846
14,319,333,0.65039062,-0.91591592
7,334,341,0.66601562,-0.95894428
15,325,340,0.6640625,-0.91176471
23,310,333,0.65039062,-0.86186186
33,296,329,0.64257812,-0.7993921
36,287,323,0.63085938,-0.77708978
47,289,336,0.65625,-0.7202381
7,336,343,0.66992188,-0.95918367
33,302,335,0.65429688,-0.80298507
48,278,326,0.63671875,-0.70552147
34,305,339,0.66210938,-0.79941003
32,303,335,0.65429688,-0.80895522
34,302,336,0.65625,-0.79761905
27,311,338,0.66015625,-0.84023669
17,313,330,0.64453125,-0.8969697
1,336,337,0.65820312,-0.99406528
17,313,330,0.64453125,-0.8969697
5,329,334,0.65234375,-0.97005988
2,339,341,0.66601562,-0.98826979
