beta,h,mean_energy,mean_magnetization_abs,mean_magnetization,specific_heat
0.2,-0.35,0.410993,0.0345715,0.0345715,4.7566e-06
0.2,-0.3,0.417302,0.0306665,0.0306665,7.50165e-06
0.2,-0.25,0.421399,0.0251965,0.0251965,7.08827e-06
0.2,-0.2,0.42318,0.0198535,0.0198535,5.06481e-06
0.2,-0.15,0.423663,0.0157813,0.0157813,5.87553e-06
0.2,-0.1,0.428038,0.00958496,0.00984375,6.85777e-06
0.2,-0.05,0.426791,0.00626099,0.00673462,6.87068e-06
0.2,3.19189e-16,0.428245,-0.000383301,0.00482422,6.67048e-06
0.2,0.05,0.427635,-0.00505371,0.00673828,5.4426e-06
0.2,0.1,0.426468,-0.0101501,0.0102478,5.97179e-06
0.2,0.15,0.425269,-0.0148059,0.0148059,5.99708e-06
0.2,0.2,0.422673,-0.0199377,0.0199377,5.9238e-06
0.2,0.25,0.41887,-0.0249805,0.0249805,6.51204e-06
0.2,0.3,0.415714,-0.0291565,0.0291565,5.64749e-06
0.2,0.35,0.411696,-0.0345801,0.0345801,8.5526e-06
0.2,0.4,0.407828,-0.0401721,0.0401721,6.98824e-06
0.2,0.45,0.402266,-0.0444543,0.0444543,5.77842e-06
0.2,0.5,0.394878,-0.0509375,0.0509375,9.05203e-06
0.2,0.55,0.390105,-0.0539685,0.0539685,6.47363e-06
0.2,0.6,0.380706,-0.0593542,0.0593542,7.03918e-06
0.2,0.65,0.372995,-0.0643933,0.0643933,8.38757e-06
0.2,0.7,0.363012,-0.0701038,0.0701038,8.77185e-06
0.2,0.75,0.351306,-0.0749939,0.0749939,9.11501e-06
0.2,0.8,0.344119,-0.0796533,0.0796533,8.03003e-06
0.2,0.85,0.333492,-0.0843054,0.0843054,8.02171e-06
0.2,0.9,0.321679,-0.0898364,0.0898364,8.03083e-06
0.2,0.95,0.31138,-0.0948059,0.0948059,8.58485e-06
0.25,-1,0.405667,0.106162,0.106162,1.72159e-05
0.25,-0.95,0.421759,0.100773,0.100773,1.30319e-05
0.25,-0.9,0.439041,0.0955017,0.0955017,2.02207e-05
0.25,-0.85,0.446761,0.0907617,0.0907617,1.31195e-05
0.25,-0.8,0.461889,0.0848401,0.0848401,1.44102e-05
0.25,-0.75,0.471809,0.0802673,0.0802673,1.15536e-05
0.25,-0.7,0.482696,0.074762,0.074762,1.34597e-05
0.25,-0.65,0.489546,0.0695874,0.0695874,1.35535e-05
0.25,-0.6,0.501731,0.0645422,0.0645422,1.36282e-05
0.25,-0.55,0.511958,0.0590063,0.0590063,9.55296e-06
0.25,-0.5,0.519247,0.0532092,0.0532092,1.33436e-05
0.25,-0.45,0.525587,0.0476489,0.0476489,8.56963e-06
0.25,-0.4,0.533146,0.0424268,0.0424268,1.20975e-05
0.25,-0.35,0.538793,0.0372314,0.0372314,1.16104e-05
0.25,-0.3,0.54299,0.032146,0.032146,1.16491e-05
0.25,-0.25,0.550147,0.0272241,0.0272241,8.41509e-06
0.25,-0.2,0.548698,0.0210632,0.0210632,1.17728e-05
0.25,-0.15,0.554773,0.0147266,0.0147266,1.09859e-05
0.25,-0.1,0.557522,0.0100085,0.010094,1.21298e-05
0.25,-0.05,0.557313,0.00510132,0.00576294,9.51967e-06
0.25,3.19189e-16,0.556836,0.00041626,0.00439575,1.05015e-05
0.25,0.05,0.557546,-0.00557861,0.006521,7.73022e-06
0.25,0.1,0.55746,-0.0109753,0.0109753,1.05821e-05
0.25,0.15,0.556159,-0.0161963,0.0161963,9.46314e-06
0.25,0.2,0.550593,-0.0223889,0.0223889,9.85082e-06
0.25,0.25,0.548926,-0.0265625,0.0265625,1.04031e-05
0.25,0.3,0.541827,-0.0318005,0.0318005,1.16289e-05
0.25,0.35,0.539773,-0.0367053,0.0367053,1.14717e-05
0.25,0.4,0.532263,-0.0422302,0.0422302,1.18488e-05
0.25,0.45,0.527659,-0.0480566,0.0480566,1.21261e-05
0.25,0.5,0.518665,-0.0523523,0.0523523,1.32436e-05
0.25,0.55,0.509801,-0.0578589,0.0578589,1.0511e-05
0.25,0.6,0.501985,-0.0634229,0.0634229,1.26154e-05
0.25,0.65,0.492427,-0.0690613,0.0690613,1.21872e-05
0.25,0.7,0.483338,-0.0741907,0.0741907,1.11992e-05
0.25,0.75,0.473422,-0.079165,0.079165,1.28735e-05
0.25,0.8,0.464616,-0.0843542,0.0843542,9.04418e-06
0.25,0.85,0.449543,-0.090387,0.090387,1.34319e-05
0.25,0.9,0.436927,-0.0953931,0.0953931,1.27551e-05
0.25,0.95,0.422827,-0.100511,0.100511,1.19474e-05
0.3,-1,0.537845,0.10847,0.10847,2.63781e-05
0.3,-0.95,0.556619,0.10276,0.10276,1.93645e-05
0.3,-0.9,0.56958,0.0977295,0.0977295,2.37975e-05
0.3,-0.85,0.583739,0.0920996,0.0920996,2.8251e-05
0.3,-0.8,0.596876,0.085426,0.085426,2.558e-05
0.3,-0.75,0.609768,0.0814453,0.0814453,1.71176e-05
0.3,-0.7,0.621982,0.0752795,0.0752795,1.83072e-05
0.3,-0.65,0.637436,0.0688904,0.0688904,2.00421e-05
0.3,-0.6,0.643404,0.0641016,0.0641016,1.73532e-05
0.3,-0.55,0.655034,0.0591357,0.0591357,1.40659e-05
0.3,-0.5,0.664402,0.0535352,0.0535352,1.756e-05
0.3,-0.45,0.671431,0.0477197,0.0477197,1.87667e-05
0.3,-0.4,0.680392,0.043136,0.043136,2.31192e-05
0.3,-0.35,0.685455,0.0378381,0.0378381,1.89622e-05
0.3,-0.3,0.687265,0.0319287,0.0319287,1.85197e-05
0.3,-0.25,0.693334,0.0262451,0.0262451,2.03168e-05
0.3,-0.2,0.695054,0.0219727,0.0219727,1.86132e-05
0.3,-0.15,0.701105,0.0156299,0.0156299,1.45421e-05
0.3,-0.1,0.704841,0.010498,0.0105176,2.23484e-05
0.3,-0.05,0.702988,0.00552124,0.00633423,2.14852e-05
0.3,3.19189e-16,0.70439,-0.000283203,0.00345459,1.48618e-05
0.3,0.05,0.704588,-0.00580322,0.00637695,1.64088e-05
0.3,0.1,0.705002,-0.0106274,0.0106274,1.60529e-05
0.3,0.15,0.702279,-0.0158606,0.0158606,2.19668e-05
0.3,0.2,0.698299,-0.021272,0.021272,1.80269e-05
0.3,0.25,0.695219,-0.0267529,0.0267529,1.9259e-05
0.3,0.3,0.687359,-0.0332434,0.0332434,1.46037e-05
0.3,0.35,0.685361,-0.0375574,0.0375574,1.99713e-05
