59,40
52,18
36,3
35,32
38,43
42,57
5,43
53,32
19,46
8,19
9,49
11,54
55,39
63,29
51,10
63,56
63,25
19,10
48,38
39,61
27,30
60,44
48,41
51,33
53,35
39,17
16,57
24,3
43,49
48,11
60,19
0,59
13,11
32,29
42,12
1,45
18,33
8,18
10,27
14,24
8,44
54,20
34,28
24,41
41,58
6,14
11,46
5,47
8,16
44,14
0,51
8,25
52,8
26,40
22,34
51,34
40,59
8,28
12,39
37,16
8,17
23,31
8,29
50,37
0,22
33,33
51,36
48,23
60,43
22,4
51,15
41,50
63,54
47,13
0,48
8,21
59,17
11,22
63,28
6,15
20,9
18,26
23,5
25,42
19,7
62,20
23,8
13,43
33,45
50,19
62,55
52,25
0,42
33,31
59,24
46,54
52,28
11,48
62,60
53,14
53,12
9,50
11,38
63,26
53,22
9,52
19,29
0,50
41,48
33,5
61,3
31,36
63,21
54,29
49,21
52,7
14,34
53,26
0,49
19,27
61,63
38,15
63,57
60,23
14,31
43,51
61,1
39,46
20,6
28,37
11,12
0,39
2,46
49,40
9,45
51,27
16,56
63,52
24,39
58,13
3,24
37,1
8,26
12,41
14,30
11,36
11,53
37,4
44,45
15,32
63,27
28,35
44,47
12,37
18,28
12,35
