31,49
52,57
29,59
57,56
51,55
23,13
43,19
34,9
2,5
28,57
40,6
56,42
18,14
8,33
54,50
43,29
58,44
8,48
37,37
33,20
55,43
58,54
61,30
26,54
40,47
60,49
30,9
45,1
20,35
28,11
54,58
27,59
38,46
35,8
42,23
39,49
29,43
17,58
9,6
59,41
48,15
21,11
50,1
47,30
46,33
7,60
48,60
49,60
34,50
14,60
15,3
56,53
23,37
19,48
5,30
50,56
30,58
31,58
33,50
51,1
26,12
39,6
61,4
31,16
15,59
27,51
30,22
22,35
53,45
29,17
16,1
44,18
21,62
62,47
22,60
5,9
9,34
10,54
29,9
37,49
63,5
23,60
22,48
55,61
17,2
48,25
34,61
49,28
6,31
50,24
7,5
35,59
47,17
36,54
6,61
37,8
41,5
32,55
0,31
33,58
3,6
57,41
38,7
9,53
29,51
46,4
62,26
46,23
27,12
31,7
35,51
44,34
27,43
25,56
33,9
38,19
54,42
11,56
4,10
18,58
7,25
21,35
24,18
25,15
59,56
45,23
32,11
37,19
40,20
5,63
30,43
13,2
0,5
52,46
28,46
39,35
10,34
6,6
24,50
44,26
38,57
20,60
53,63
40,35
27,21
41,34
47,2
37,57
19,13
32,2
8,57
39,18
1,30
12,57
2,30
60,4
